,name,symbol,circulating_supply,total_supply,infinite_supply,price,1h_percent_change,24_percent_change,7d_percent_change,30d_percent_change,60d_percent_change,90d_percent_change,timestamp
9,Shiba Inu,SHIB,589289410812691.0,589534086491242.2,False,0.0,0.13612639,4.06394338,-17.61834188,251.30593664,226.77324463,258.16396401,2024-03-12 04:31:00+00:00
0,Bitcoin,BTC,19651912.0,19651912.0,False,71984.89,0.38028001,4.80872173,5.77891937,48.63745226,56.20658073,76.33077066,2024-03-12 04:32:00+00:00
1,Ethereum,ETH,120093478.75427325,120093478.75427325,True,4041.32,-0.06991291,4.59977429,8.53072954,59.73303062,55.27648966,86.89191026,2024-03-12 04:32:00+00:00
2,Tether USDt,USDT,102434373085.14607,106797122778.3069,True,1.0,-0.02715826,-0.04227825,-0.10956802,-0.05579036,-0.0019708,0.02377416,2024-03-12 04:32:00+00:00
3,BNB,BNB,149539808.83438128,149539808.83438128,False,541.55,1.89006332,3.36526053,27.99215539,67.03819151,73.73284559,120.19259794,2024-03-12 04:32:00+00:00
4,Solana,SOL,443537801.08244264,571694338.9017091,True,152.66,-1.20205975,8.33023454,16.2574344,39.18245519,55.23543371,133.08046365,2024-03-12 04:32:00+00:00
5,XRP,XRP,54736825690.0,99987824103.0,False,0.69,-0.0156459,14.24289697,7.21316693,31.63474257,16.00203021,14.75501752,2024-03-12 04:32:00+00:00
6,USDC,USDC,30475791407.302975,30475791407.302975,False,1.0,0.01875718,0.02201977,0.00523933,0.00414035,0.00155207,-0.00455703,2024-03-12 04:32:00+00:00
7,Cardano,ADA,35550823994.916,36700287535.801,False,0.76,0.02518893,7.03275146,-0.75628502,35.43442623,31.2467029,36.81982366,2024-03-12 04:32:00+00:00
8,Dogecoin,DOGE,143431896383.7052,143431896383.7052,True,0.17,-0.1623036,4.87492151,-5.58839853,112.95808113,108.0757992,91.80306146,2024-03-12 04:32:00+00:00
9,Shiba Inu,SHIB,589289410812691.0,589534086491242.2,False,0.0,0.23937135,4.10998226,-17.09325558,251.30101141,226.76564987,258.09434579,2024-03-12 04:32:00+00:00
0,Bitcoin,BTC,19651912.0,19651912.0,False,71927.23,0.48270847,4.78680077,5.76409082,48.66639953,56.10829015,76.18385554,2024-03-12 04:33:00+00:00
1,Ethereum,ETH,120093478.75427325,120093478.75427325,True,4040.13,0.01243602,4.65798745,8.47124032,59.79614558,55.30757199,86.75762291,2024-03-12 04:33:00+00:00
2,Tether USDt,USDT,102434373085.14607,106797122778.3069,True,1.0,-0.00608454,-0.02160462,-0.09028999,-0.02511832,0.0055899,0.03767727,2024-03-12 04:33:00+00:00
3,BNB,BNB,149539808.83438128,149539808.83438128,False,541.02,1.5948783,3.29139065,27.63478374,66.87543725,73.55841879,119.84506064,2024-03-12 04:33:00+00:00
4,Solana,SOL,443537801.08244264,571694338.9017091,True,152.57,-1.20766021,8.29504705,16.08926234,39.18153951,54.80467751,132.84669879,2024-03-12 04:33:00+00:00
5,XRP,XRP,54736825690.0,99987824103.0,False,0.69,-0.05317638,14.21542026,7.13008937,31.64203446,15.9138732,14.70821853,2024-03-12 04:33:00+00:00
6,USDC,USDC,30475791407.302975,30475791407.302975,False,1.0,0.01955181,-0.00550297,-0.0113407,-0.00034234,-0.02367773,-0.02623062,2024-03-12 04:33:00+00:00
7,Cardano,ADA,35550823994.916,36700287535.801,False,0.76,0.00384444,7.00649115,-0.99546412,35.45935821,31.19959418,36.68979638,2024-03-12 04:33:00+00:00
8,Dogecoin,DOGE,143431896383.7052,143431896383.7052,True,0.17,-0.18224615,4.89031302,-6.04040021,112.95724883,107.74407538,91.72580062,2024-03-12 04:33:00+00:00
9,Shiba Inu,SHIB,589289410812691.0,589534086491242.2,False,0.0,0.21772079,4.07920954,-17.35624526,251.3562092,226.67411281,257.65922711,2024-03-12 04:33:00+00:00
